,Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
0,2019-08-06,1,Flat,Señorita,Shawn Mendes,7430569,https://i.scdn.co/image/b68c52237ed6815023eb6e62ab93e380c04611a6,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
1,2019-08-06,2,Flat,China,Anuel AA,4725718,https://i.scdn.co/image/ab67616d000048515fa6dc9fc261344044c301a9,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
2,2019-08-06,3,Flat,boyfriend (with Social House),Ariana Grande,3963934,https://i.scdn.co/image/cc61398e747371ff2fac8e7d3c8540d441021df6,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
3,2019-08-06,4,Flat,Beautiful People (feat. Khalid),Ed Sheeran,3775589,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
4,2019-08-06,5,Flat,Goodbyes (Feat. Young Thug),Post Malone,3670240,https://i.scdn.co/image/ab67616d000048513f154c97dfa06ee696bd687c,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
5,2019-08-06,6,Flat,I Don't Care (with Justin Bieber),Ed Sheeran,3655690,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
6,2019-08-06,7,Flat,Ransom,Lil Tecca,3568209,https://i.scdn.co/image/ab67616d00004851422113b080aa8e2effae4fa2,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
7,2019-08-06,8,Flat,How Do You Sleep?,Sam Smith,3173948,https://i.scdn.co/image/52466230e99f77d0cbca479737e333d09e8a9749,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
8,2019-08-06,9,Flat,Old Town Road - Remix,Lil Nas X,3070393,https://i.scdn.co/image/ab67616d00004851c0e7bf5cdd630f314f20586a,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
9,2019-08-06,10,Flat,bad guy,Billie Eilish,3013285,https://i.scdn.co/image/ed409b4be5bdf96fd451d7d1455b0667a3c6999c,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
10,2019-08-06,11,Flat,Callaita,Bad Bunny,2853751,https://i.scdn.co/image/25c85118c4a9a96f160407d4ef9c82bfe175c58f,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
11,2019-08-06,12,Up,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,2746984,https://i.scdn.co/image/0f682cfc23a23509181d78d0e31088e6107928e2,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
12,2019-08-06,13,Down,Someone You Loved,Lewis Capaldi,2657690,https://i.scdn.co/image/d2a8a81991aa1c638f7fdaa8a27937b346fad771,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
13,2019-08-06,14,Down,Otro Trago - Remix,Sech,2459865,https://i.scdn.co/image/ab67616d00004851b195123bcd742d6019ac9dc8,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
14,2019-08-06,15,Flat,Money In The Grave (Drake ft. Rick Ross),Drake,2357943,https://i.scdn.co/image/fc4497aa9502986aa3c1600da013bbb09dfbcefa,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
15,2019-08-06,16,Flat,No Guidance (feat. Drake),Chris Brown,2314198,https://i.scdn.co/image/ab67616d000048519e588b0c2afe8178b2b76231,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
16,2019-08-06,17,Flat,LA CANCIÓN,J Balvin,2249987,https://i.scdn.co/image/ab67616d000048514891d9b25d8919448388f3bb,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
17,2019-08-06,18,Flat,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2192059,https://i.scdn.co/image/ab67616d00004851e2e352d89826aef6dbd5ff8f,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
18,2019-08-06,19,Up,Lalala,Y2K,2147153,https://i.scdn.co/image/ab67616d000048518a6ccb507dd6a66f7f6e2440,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
19,2019-08-06,20,Up,Truth Hurts,Lizzo,2146187,https://i.scdn.co/image/ab67616d000048514d51081892dbe3f1ddf28914,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
