,Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
0,2019-09-03,1,Flat,Señorita,Shawn Mendes,6240007,https://i.scdn.co/image/b68c52237ed6815023eb6e62ab93e380c04611a6,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
1,2019-09-03,2,Flat,Circles,Post Malone,4250809,https://i.scdn.co/image/ed23e595f0a16d8b53d516bfdc8c2c47a4a8a92b,https://open.spotify.com/track/4VginDwYTP2eaHJzO0QMjG
2,2019-09-03,3,Flat,China,Anuel AA,3735775,https://i.scdn.co/image/ab67616d000048515fa6dc9fc261344044c301a9,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
3,2019-09-03,4,Flat,Ransom,Lil Tecca,3477568,https://i.scdn.co/image/53e0b1d0cec445e5edec68be68b2e8852069ca5e,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
4,2019-09-03,5,Up,Dance Monkey,Tones and I,3270972,https://i.scdn.co/image/ab67616d0000485138802659d156935ada63c9e3,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,2019-09-03,6,Down,Beautiful People (feat. Khalid),Ed Sheeran,3262180,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
6,2019-09-03,7,Down,Goodbyes (Feat. Young Thug),Post Malone,3257080,https://i.scdn.co/image/ab67616d000048513f154c97dfa06ee696bd687c,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
7,2019-09-03,8,Flat,bad guy,Billie Eilish,2950674,https://i.scdn.co/image/ed409b4be5bdf96fd451d7d1455b0667a3c6999c,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
8,2019-09-03,9,Up,How Do You Sleep?,Sam Smith,2897943,https://i.scdn.co/image/52466230e99f77d0cbca479737e333d09e8a9749,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
9,2019-09-03,10,Down,I Don't Care (with Justin Bieber),Ed Sheeran,2888384,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
10,2019-09-03,11,Flat,Someone You Loved,Lewis Capaldi,2877200,https://i.scdn.co/image/d2a8a81991aa1c638f7fdaa8a27937b346fad771,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,2019-09-03,12,Up,Lover,Taylor Swift,2747216,https://i.scdn.co/image/6a7357e1e6e867fb533e459da09f5c99b66911f2,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
12,2019-09-03,13,Down,Lalala,Y2K,2718357,https://i.scdn.co/image/ab67616d000048518a6ccb507dd6a66f7f6e2440,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
13,2019-09-03,14,Flat,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,2601900,https://i.scdn.co/image/0f682cfc23a23509181d78d0e31088e6107928e2,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
14,2019-09-03,15,Up,boyfriend (with Social House),Ariana Grande,2432968,https://i.scdn.co/image/cc61398e747371ff2fac8e7d3c8540d441021df6,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
15,2019-09-03,16,Down,Old Town Road - Remix,Lil Nas X,2385241,https://i.scdn.co/image/ab67616d00004851c0e7bf5cdd630f314f20586a,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
