,Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
0,2017-12-04,1,Flat,rockstar,Post Malone,4844938,https://i.scdn.co/image/ab67616d00004851345f823b6c1dbd3b4cc7b382,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
1,2017-12-04,2,Flat,Havana,Camila Cabello,3938866,https://i.scdn.co/image/ab67616d00004851d93cf4d07ba50d7b32ca7c44,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
2,2017-12-04,3,Flat,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,3639976,https://i.scdn.co/image/ab67616d00004851af6b2fca3b6e24612a5fe5d8,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
3,2017-12-04,4,Up,Wolves,Selena Gomez,3319316,https://i.scdn.co/image/ab67616d0000485110368f28dac3b838770f985c,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
4,2017-12-04,5,Up,New Rules,Dua Lipa,3218169,https://i.scdn.co/image/ab67616d000048516b915e407b70e121e06fe979,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
5,2017-12-04,6,Up,Perfect,Ed Sheeran,2970853,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
6,2017-12-04,7,Flat,Gucci Gang,Lil Pump,2875368,https://i.scdn.co/image/ab67616d00004851d52ef190ae5253eb2c3c764c,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
7,2017-12-04,8,Up,Too Good At Goodbyes,Sam Smith,2866807,https://i.scdn.co/image/eb645ad7342e0f34817e16d9d4061c3b5e374d4c,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
8,2017-12-04,9,Up,Let You Down,NF,2817074,https://i.scdn.co/image/ab67616d0000485139e85b6ae069d1e25bbc89df,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
9,2017-12-04,10,Flat,What Lovers Do (feat. SZA),Maroon 5,2748072,https://i.scdn.co/image/ab67616d000048519ccf08d3f74b36b7880522b5,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
10,2017-12-04,11,Down,All I Want for Christmas Is You,Mariah Carey,2629693,https://i.scdn.co/image/ab67616d000048514246e3158421f5abb75abc4f,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
11,2017-12-04,12,Flat,Échame La Culpa,Luis Fonsi,2565366,https://i.scdn.co/image/ab67616d000048510ac9a58447dfccc5127248e0,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
12,2017-12-04,13,Up,Silence,Marshmello,2475697,https://i.scdn.co/image/ab67616d00004851f33ba583059dc2f7d08bf2b8,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
